Metabolite,G_SD_exp,G_SD_stat,GX_SD_exp,GX_SD_trans,GX_SD_stat,X_SD_exp,X_SD_stat,A_SD_exp,A_SD_stat,C_SD_exp,C_SD_stat,C_SD_exp (extracellular),C_SD_stat (extracellular)
Unknown 023,8896106.167,12010464.1,10966321.07,17739536.87,8591702.6,15240053.23,11638761.17,16173896.43,11624763.07,8491393.567,12460429.2,,
Unknown 024,1964309.1,857541.4333,456733.4667,1667967.6,1005412.6,573664.3,884864.1333,233527.2667,780595.0667,31862.66667,613502.7333,,
Unknown 025,523513.1333,510264.9667,703549.4667,919013.4333,365336.4667,709064.4333,180305.7667,1173635.567,145370.2667,246929.0333,228848.4333,,
Unknown 026,200963.0333,265205.5333,80472.43333,807743.5333,722444.3667,455318.3667,77596.76667,1433031.533,131270.5667,291493.2333,345284.3667,,
Unknown 027,71103.2,186985.6667,69913.5,226551.8333,373224.9667,101385,202405.5667,286473.4667,126877.2333,59376.1,51899.7,,
Unknown 028,1030543.067,618830.2,1371226.833,2146666.233,82901.3,841281.5,909526.8667,1151586.467,1207546.567,1653084.767,1292493.9,,
Unknown 029,61646.43333,121377.3,85545.96667,233288.7,189338.5333,133493.9667,93803.8,145972.4,63549.83333,96216.06667,163467.2,,
Unknown 030,0,0,333681.0333,1312768.733,0,64294.33333,0,350102.2,0,0,0,,
Unknown 031,717047.7667,0,578115.2333,31700.6,0,227702.2333,0,0,0,0,0,,
Unknown 032,62053.76667,242181.0333,233713.1667,1840307.633,1677442.233,4928881.2,7355319.533,820266.1667,1189098.833,152452.4667,466678.7,,
Unknown 033,120983.2667,287959.1667,101918.2667,191265.5,499321.8,424382.9667,218867.5667,55129.56667,0,258201.1333,255031.5,,
Unknown 034,0,0,0,0,0,140439.3667,0,858486.0667,482243.7333,0,0,,
Unknown 035,498427.7333,191589,291326.0667,192541.3667,165560.2667,188965.5333,92539.1,151928.9333,154777.4667,173242.8,177267.3,,
